month,company,industry,region,segment,product,account_owner,acquisition_channel,mrr_usd,arr_usd,monthly_logins,features_used,support_tickets,nps_score,months_as_customer,status
2024-09-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,12686,152232,96,7,14,19,20,Active
2024-10-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,14267,171204,72,9,15,8,21,Active
2024-11-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,13741,164892,93,4,12,18,22,Active
2024-12-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,12688,152256,88,8,16,10,23,Active
2025-01-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,14620,175440,91,9,14,24,24,Active
2025-02-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,11697,140364,82,8,16,34,25,Active
2025-03-01,Acme Corp,Technology,North America,Enterprise,Analytics Suite,Bob Smith,Inbound,13858,166296,103,4,10,34,26,Active
2023-05-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,16088,193056,271,6,10,94,1,Active
2023-06-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,16614,199368,258,8,14,,2,Active
2023-07-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,17176,206112,261,3,10,72,3,Active
2023-08-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,16908,202896,270,7,10,83,4,Active
2023-09-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,16649,199788,273,3,10,67,5,Active
2023-10-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,18431,221172,237,7,10,,6,Active
2023-11-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,17430,209160,241,8,13,,7,Active
2023-12-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,17729,212748,263,6,10,68,8,Active
2024-01-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,19151,229812,255,6,12,79,9,Active
2024-02-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,19564,234768,239,3,12,88,10,Active
2024-03-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,20380,244560,239,4,10,,11,Active
2024-04-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,18280,219360,244,5,12,72,12,Active
2024-05-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,19731,236772,268,3,9,85,13,Active
2024-06-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,22363,268356,248,4,12,,14,Active
2024-07-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,19239,230868,258,3,10,77,15,Active
2024-08-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,23377,280524,249,6,11,,16,Active
2024-09-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,19373,232476,251,4,9,83,17,Active
2024-10-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,22965,275580,236,3,13,80,18,Active
2024-11-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,19199,230388,265,3,15,70,19,Active
2024-12-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,22786,273432,248,6,9,95,20,Active
2025-01-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,23026,276312,235,7,9,78,21,Active
2025-02-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,25849,310188,246,8,14,75,22,Active
2025-03-01,GlobalTech Inc,Technology,Europe,Enterprise,AI Copilot,Alice Johnson,Inbound,21426,257112,241,8,14,,23,Active
2023-06-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2131,25572,60,12,5,35,1,Active
2023-07-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2172,26064,76,10,4,18,2,Active
2023-08-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2171,26052,47,13,3,19,3,Active
2023-09-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2205,26460,54,13,1,21,4,Active
2023-10-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2284,27408,57,8,0,,5,Active
2023-11-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2407,28884,43,8,1,39,6,Active
2023-12-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2406,28872,57,9,4,,7,Active
2024-01-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2428,29136,48,8,4,43,8,Active
2024-02-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2466,29592,64,12,3,,9,Active
2024-03-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2336,28032,60,10,5,42,10,Active
2024-04-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2714,32568,54,13,0,36,11,Active
2024-05-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2501,30012,76,11,3,38,12,Active
2024-06-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2845,34140,56,9,5,40,13,Active
2024-07-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2878,34536,42,9,4,44,14,Active
2024-08-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2874,34488,67,13,13,23,15,Active
2024-09-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2931,35172,14,11,10,-3,16,Active
2024-10-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,2569,30828,21,10,9,-8,17,Active
2024-11-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,0,0,0,0,0,,18,Churned
2024-12-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,0,0,0,0,0,-40,19,Churned
2025-01-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,0,0,0,0,0,-9,20,Churned
2025-02-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,0,0,0,0,0,,21,Churned
2025-03-01,HealthFirst Solutions,Healthcare,North America,Mid-Market,AI Copilot,Eva Martinez,Inbound,0,0,0,0,0,-6,22,Churned
2023-09-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5102,61224,92,8,4,,1,Active
2023-10-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5217,62604,68,11,7,,2,Active
2023-11-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5296,63552,57,9,5,,3,Active
2023-12-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5495,65940,95,12,5,,4,Active
2024-01-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5452,65424,70,11,6,80,5,Active
2024-02-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5675,68100,75,11,8,75,6,Active
2024-03-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5396,64752,72,12,5,62,7,Active
2024-04-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5499,65988,59,8,6,74,8,Active
2024-05-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5839,70068,97,11,4,,9,Active
2024-06-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5973,71676,72,8,8,77,10,Active
2024-07-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,6509,78108,63,10,4,,11,Active
2024-08-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,5641,67692,72,7,6,,12,Active
2024-09-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,6495,77940,92,11,5,,13,Active
2024-10-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,6535,78420,89,10,9,,14,Active
2024-11-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,7071,84852,87,10,5,79,15,Active
2024-12-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,7119,85428,74,11,6,75,16,Active
2025-01-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,6295,75540,61,12,5,62,17,Active
2025-02-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,6482,77784,91,7,4,59,18,Active
2025-03-01,GreenEnergy Co,Manufacturing,Europe,Mid-Market,Platform Pro,Carol Williams,Referral,6655,79860,66,12,4,,19,Active
2023-07-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1468,17616,36,10,4,,1,Active
2023-08-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1514,18168,48,12,0,80,2,Active
2023-09-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1521,18252,45,8,1,,3,Active
2023-10-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1596,19152,43,9,2,82,4,Active
2023-11-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1658,19896,51,12,3,65,5,Active
2023-12-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1653,19836,22,11,0,66,6,Active
2024-01-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1632,19584,27,11,0,,7,Active
2024-02-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1635,19620,40,10,4,,8,Active
2024-03-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1589,19068,48,8,0,72,9,Active
2024-04-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1826,21912,16,8,0,71,10,Active
2024-05-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1812,21744,29,9,1,86,11,Active
2024-06-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1825,21900,27,11,3,73,12,Active
2024-07-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1706,20472,52,13,3,68,13,Active
2024-08-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,2050,24600,20,12,0,94,14,Active
2024-09-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1923,23076,38,11,3,71,15,Active
2024-10-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1962,23544,54,9,0,87,16,Active
2024-11-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,2121,25452,52,8,4,83,17,Active
2024-12-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1897,22764,41,13,0,67,18,Active
2025-01-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,1737,20844,40,11,0,78,19,Active
2025-02-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,2114,25368,43,13,0,78,20,Active
2025-03-01,MediaGroup Digital,Retail,North America,SMB,Data Connector,Alice Johnson,Outbound,2207,26484,31,12,4,,21,Active
2023-08-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,22575,270900,164,8,14,23,1,Active
2023-09-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,22966,275592,189,11,10,32,2,Active
2023-10-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,23630,283560,163,6,9,,3,Active
2023-11-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,24033,288396,166,11,11,,4,Active
2023-12-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,24383,292596,152,6,10,,5,Active
2024-01-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,25457,305484,170,11,12,,6,Active
2024-02-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,25556,306672,173,9,13,32,7,Active
2024-03-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,25307,303684,180,8,10,23,8,Active
2024-04-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,24760,297120,163,8,8,38,9,Active
2024-05-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,25352,304224,181,8,13,33,10,Active
2024-06-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,29526,354312,163,8,9,26,11,Active
2024-07-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,26560,318720,185,7,10,16,12,Active
2024-08-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,28371,340452,159,11,14,,13,Active
2024-09-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,36632,439584,169,9,11,29,14,Expanded
2024-10-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,38409,460908,181,6,14,,15,Expanded
2024-11-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,51233,614796,154,7,9,40,16,Expanded
2024-12-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,41360,496320,186,9,12,34,17,Expanded
2025-01-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,52917,635004,179,8,14,,18,Expanded
2025-02-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,51561,618732,190,11,8,45,19,Expanded
2025-03-01,Quantum Dynamics,Technology,Asia Pacific,Enterprise,Integration Hub,Carol Williams,Outbound,50345,604140,156,7,9,20,20,Expanded
2023-03-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,8186,98232,146,12,9,84,1,Active
2023-04-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,8516,102192,136,7,9,80,2,Active
2023-05-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,8618,103416,168,9,11,,3,Active
2023-06-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,8856,106272,157,9,12,,4,Active
2023-07-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,8845,106140,170,7,11,78,5,Active
2023-08-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,9158,109896,133,7,9,85,6,Active
2023-09-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,9784,117408,149,11,8,79,7,Active
2023-10-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,9342,112104,160,9,9,,8,Active
2023-11-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,9738,116856,163,7,11,,9,Active
2023-12-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,9434,113208,138,8,10,,10,Active
2024-01-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,9489,113868,157,11,8,69,11,Active
2024-02-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,9667,116004,152,7,14,67,12,Active
2024-03-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,10521,126252,166,10,11,56,13,Active
2024-04-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,10393,124716,171,10,13,69,14,Active
2024-05-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,9793,117516,167,8,10,,15,Active
2024-06-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,9695,116340,172,11,14,62,16,Active
2024-07-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,10316,123792,132,11,11,57,17,Active
2024-08-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,12431,149172,139,10,8,75,18,Active
2024-09-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,11155,133860,150,11,22,,19,Active
2024-10-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,12875,154500,44,10,19,31,20,Active
2024-11-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,12719,152628,44,10,23,7,21,Active
2024-12-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,0,0,0,0,0,31,22,Churned
2025-01-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,0,0,0,0,0,,23,Churned
2025-02-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,0,0,0,0,0,,24,Churned
2025-03-01,Pacific Health Systems,Healthcare,Asia Pacific,Enterprise,AI Copilot,David Brown,Partner,0,0,0,0,0,,25,Churned
2023-07-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,13365,160380,253,14,15,13,1,Active
2023-08-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,13567,162804,274,16,9,32,2,Active
2023-09-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,14037,168444,283,14,11,,3,Active
2023-10-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,14409,172908,251,15,9,12,4,Active
2023-11-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,14928,179136,254,14,9,29,5,Active
2023-12-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,14454,173448,268,11,9,15,6,Active
2024-01-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,14426,173112,272,14,10,,7,Active
2024-02-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,15198,182376,260,12,10,,8,Active
2024-03-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,15600,187200,264,14,13,9,9,Active
2024-04-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,15479,185748,265,14,11,26,10,Active
2024-05-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,16979,203748,278,13,14,22,11,Active
2024-06-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,14772,177264,271,15,11,,12,Active
2024-07-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,17002,204024,278,13,10,,13,Active
2024-08-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,24740,296880,271,15,11,27,14,Expanded
2024-09-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,28502,342024,274,13,9,23,15,Expanded
2024-10-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,34806,417672,267,12,13,30,16,Expanded
2024-11-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,24464,293568,265,16,15,28,17,Expanded
2024-12-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,35455,425460,251,13,15,19,18,Expanded
2025-01-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,33679,404148,254,13,11,,19,Expanded
2025-02-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,24398,292776,283,13,13,21,20,Expanded
2025-03-01,Atlas Manufacturing,Manufacturing,North America,Enterprise,Analytics Suite,Eva Martinez,Referral,31455,377460,279,13,14,32,21,Expanded
2023-02-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2662,31944,92,12,3,26,1,Active
2023-03-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2717,32604,91,14,5,34,2,Active
2023-04-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2796,33552,92,13,8,,3,Active
2023-05-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2745,32940,54,10,5,20,4,Active
2023-06-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2772,33264,86,11,6,19,5,Active
2023-07-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2983,35796,86,13,7,28,6,Active
2023-08-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3123,37476,58,13,7,18,7,Active
2023-09-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2838,34056,75,11,6,19,8,Active
2023-10-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3254,39048,58,15,5,22,9,Active
2023-11-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2909,34908,69,11,3,,10,Active
2023-12-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2956,35472,65,15,8,24,11,Active
2024-01-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,2961,35532,73,11,4,30,12,Active
2024-02-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3002,36024,87,11,7,11,13,Active
2024-03-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3222,38664,61,14,3,13,14,Active
2024-04-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3783,45396,86,12,9,10,15,Active
2024-05-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3587,43044,53,11,3,16,16,Active
2024-06-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3584,43008,53,11,5,6,17,Active
2024-07-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3785,45420,85,10,8,,18,Active
2024-08-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3558,42696,75,14,7,,19,Active
2024-09-01,Nordic Retail Group,Retail,Europe,Mid-Market,Analytics Suite,David Brown,Referral,3666,43992,91,10,8,30,20,Active
